time,lon,lat,depth,mag
2023-12-28T15:38:27.760000Z,148.8878,44.4857,49.497,4.3
2023-12-28T15:04:23.708000Z,149.0586,44.4861,57.467,4.6
2023-12-28T14:53:04.730000Z,-177.290833,51.9485,5.72,1.06
2023-12-28T14:49:23.492000Z,128.9806,27.8438,52.933,4.5
2023-12-28T14:17:58.359000Z,124.3917,11.6849,77.299,4.5
2023-12-28T13:58:14.145000Z,-179.5715,52.6604,10.0,3.2
2023-12-28T13:47:38.849000Z,-172.43,53.0323,240.387,3.8
2023-12-28T13:46:40.430000Z,-177.210833,51.931833,9.45,0.56
2023-12-28T13:21:41.430000Z,-176.169833,52.0775,-1.8,0.54
2023-12-28T13:16:53.788000Z,142.4133,40.5601,38.266,4.8
2023-12-28T12:41:44.680000Z,-177.206833,51.9675,6.53,0.2
2023-12-28T12:40:44.837000Z,149.1443,44.4848,52.976,4.9
2023-12-28T11:44:12.362000Z,148.7971,44.5155,57.75,4.6
2023-12-28T10:07:44.692000Z,149.0796,44.442,46.877,4.5
2023-12-28T09:37:26.968000Z,149.0713,44.4629,42.223,5.0
2023-12-28T09:15:16.075000Z,149.0094,44.5907,30.501,6.5
2023-12-28T07:58:08.799000Z,69.9176,36.162,122.959,4.2
2023-12-28T07:35:34.125000Z,-166.6868,53.2243,41.2,1.6
2023-12-28T07:03:50.566000Z,125.7205,-6.9015,510.158,4.3
2023-12-28T05:51:50.850000Z,-177.864833,51.856167,8.09,1.03
2023-12-28T01:35:11.401000Z,125.4786,6.121,35.0,5.2
2023-12-28T01:15:15.590000Z,-166.043,54.126833,5.97,-0.1
2023-12-28T01:10:43.606000Z,-170.9386,67.5014,9.91,2.6
2023-12-28T00:41:51.722000Z,127.3648,1.3802,12.737,4.4
2023-12-28T00:27:19.349000Z,128.6111,2.5063,228.921,4.2
2023-12-27T23:01:22.464000Z,-173.1297,51.933,35.0,2.3
2023-12-27T22:58:30.045000Z,-178.2666,51.3986,24.8,2.0
2023-12-27T22:48:56.355000Z,-170.1581,67.4208,13.0,2.5
2023-12-27T22:43:56.753000Z,107.9496,-7.7826,71.88,5.1
2023-12-27T22:37:11.540000Z,-176.7307,51.7728,72.7,2.1
2023-12-27T22:31:03.902000Z,-171.1819,67.5603,10.0,3.3
2023-12-27T22:22:53.575000Z,-177.4628,51.5267,33.4,1.8
2023-12-27T22:12:59.340000Z,-177.17,51.96,-1.79,0.53
2023-12-27T22:04:14.837000Z,-166.2321,53.8302,91.5,1.8
2023-12-27T21:34:43.135000Z,-170.3835,67.4418,14.6,2.7
