time,lat,lon,dep,mag
2022-09-15T14:02:38.350000Z,52.5979,-179.9658,235.844,4.6
2022-09-13T17:57:26.249000Z,56.4707,-152.6332,10.0,4.1
2022-09-12T18:46:30.433000Z,56.2727,-156.5647,45.7,4.0
2022-09-11T16:04:27.867000Z,51.357,-167.7932,10.0,4.2
2022-09-09T23:08:24.390000Z,56.3087,-152.6545,20.6,4.5
2022-09-07T20:41:05.699000Z,51.3078,-178.5497,51.411,4.8
2022-09-03T11:32:35.733000Z,52.048,-171.7355,65.609,4.0
2022-09-02T02:45:32.055000Z,51.6853,-176.7797,57.893,4.7
2022-08-30T18:23:47.136000Z,55.0589,-155.6134,42.4,4.5
2022-08-30T18:18:09.272000Z,55.0693,-155.5438,6.1,4.5
2022-08-29T21:32:34.105000Z,55.3776,-159.4004,4.7,4.1
2022-08-23T00:55:59.234000Z,52.0219,-173.8242,69.242,4.4
2022-08-17T02:00:18.602000Z,55.908,-155.8112,33.2,5.0
2022-08-16T22:06:09.329000Z,59.2126,-152.1586,72.0,4.2
2022-08-16T02:47:36.218000Z,53.1098,-166.9644,45.536,4.1
2022-08-13T09:32:53.642000Z,52.4724,-167.7597,35.0,4.4
2022-08-09T21:21:11.188000Z,52.1777,-171.2803,25.814,4.3
2022-08-07T14:01:46.957000Z,53.4855,-165.7068,43.992,4.5
2022-08-06T08:17:24.938000Z,52.5967,-176.0777,223.644,4.1
2022-08-01T05:45:53.179000Z,52.3658,-168.0956,35.0,4.0
2022-08-01T04:08:17.283000Z,52.2254,-168.1111,10.0,4.9
2022-08-01T01:59:30.590000Z,54.1817,-166.4037,108.775,4.3
2022-08-01T00:36:40.959000Z,53.5635,-165.357,42.312,5.3
2022-07-31T14:04:51.922000Z,52.1529,-171.2562,10.0,4.2
2022-07-21T01:34:51.688000Z,51.4625,-178.4542,10.0,4.0
2022-07-15T11:18:22.546000Z,51.6684,-176.3827,56.82,4.1
2022-07-12T07:24:58.285000Z,60.9805,-150.9365,51.1,4.7
2022-07-10T23:10:36.123000Z,57.7354,-153.932,40.9,4.1
2022-07-10T22:10:33.175000Z,51.5027,-175.9639,41.62,4.0
2022-07-10T20:57:32.337000Z,51.6409,-175.7972,45.433,4.2
2022-07-08T22:53:45.374000Z,52.7404,-174.1573,175.85,4.1
2022-07-08T09:40:18.446000Z,52.1689,-174.9394,10.0,5.1
2022-07-05T04:25:31.660000Z,56.6584,-169.1194,10.0,4.2
2022-07-04T21:11:31.939000Z,60.1435,-153.2717,151.7,4.2
2022-07-04T09:19:07.504000Z,56.6137,-169.1738,10.0,5.2
2022-07-04T09:17:43.060000Z,56.632,-169.0707,10.014,5.4
2022-07-03T20:33:17.412000Z,51.7186,-176.8195,56.26,4.7
2022-07-03T11:49:28.576000Z,63.4312,-150.313,134.0,4.0
2022-06-30T16:22:50.416000Z,54.7073,-161.4357,52.74,4.2
2022-06-23T14:01:45.757000Z,53.1178,-167.4791,50.94,4.3
2022-06-20T19:09:52.011000Z,60.6236,-151.8041,73.1,4.0
2022-06-14T14:05:04.327000Z,53.3455,-163.8943,4.98,4.2
2022-06-09T18:44:12.966000Z,54.5299,-159.5327,29.17,4.8
2022-06-07T14:55:19.831000Z,53.663,-169.7001,159.58,4.1
2022-06-04T02:19:37.532000Z,54.8526,-159.588,42.71,4.1
2022-06-02T23:26:02.995000Z,52.3142,-170.0043,36.54,5.2
2022-06-02T21:54:21.588000Z,63.1002,-150.8278,119.8,4.1
2022-06-02T21:41:52.255000Z,55.3702,-156.9571,82.8,5.1
2022-06-02T20:45:26.217000Z,52.7162,-175.5919,223.1,4.0
2022-06-02T19:02:49.108000Z,55.0977,-156.812,0.0,4.4
2022-06-02T12:18:05.851000Z,52.1162,-169.823,10.0,4.0
2022-05-31T14:41:40.650000Z,51.4642,-178.3461,46.28,5.0
2022-05-26T23:36:04.723000Z,54.4982,-163.2828,10.42,4.2
2022-05-23T11:29:22.490000Z,51.4221,-178.3765,53.54,4.3
2022-05-23T09:10:53.692000Z,59.5205,-152.0754,53.7,4.0
2022-05-13T15:26:09.959000Z,50.9434,-178.0812,10.0,4.5
2022-05-10T23:40:59.252000Z,52.2107,-168.7565,10.0,4.0
2022-05-09T18:49:05.415000Z,60.0548,-152.7344,93.3,4.0
2022-05-09T18:08:23.176000Z,54.9958,-157.659,10.0,4.4
2022-05-08T04:16:02.503000Z,60.9923,-151.9764,94.3,4.4
2022-05-05T22:58:42.694000Z,51.4938,-176.7934,47.19,4.5
2022-05-04T12:12:27.713000Z,53.2629,-160.6764,10.0,4.2
2022-05-03T23:13:56.890000Z,52.3025,-170.5779,40.77,4.0
2022-05-01T14:54:58.233000Z,52.8236,-168.4717,50.24,4.0
2022-04-30T05:05:01.844000Z,58.7268,-152.045,41.7,4.1
2022-04-29T23:49:24.957000Z,54.7102,-159.6742,27.68,4.1
2022-04-29T11:25:14.312000Z,54.5733,-156.72,23.9,4.4
2022-04-28T04:14:56.810000Z,52.7354,-174.5396,193.45,4.0
2022-04-28T03:33:39.903000Z,56.3596,-156.4956,83.1,5.2
2022-04-25T16:31:29.034000Z,54.446,-156.1136,25.9,5.4
2022-04-23T07:21:51.347000Z,52.8652,-166.8278,26.85,4.5
2022-04-23T06:37:38.680000Z,52.6979,-170.6183,10.0,4.0
2022-04-22T05:27:35.067000Z,56.2728,-161.634,209.68,5.2
2022-04-13T14:23:07.752000Z,54.7358,-159.8675,31.36,4.2
2022-04-12T14:35:19.767000Z,54.334,-160.8574,35.82,4.1
2022-04-12T09:15:09.414000Z,50.1843,-179.9093,10.0,4.7
2022-04-11T22:03:25.456000Z,52.7716,-165.4674,10.0,4.0
2022-04-10T22:29:29.160000Z,56.6471,-156.4416,51.3,4.6
2022-04-10T03:23:40.681000Z,54.7404,-164.1408,9.58,4.0
2022-03-31T22:50:09.097000Z,55.7764,-159.7088,78.1,4.0
2022-03-24T18:07:56.147000Z,50.6209,-174.9121,10.0,4.3
2022-03-23T19:42:12.116000Z,51.5056,-175.9676,41.64,4.2
2022-03-23T18:45:12.829000Z,60.2258,-153.0911,148.0,4.7
2022-03-14T03:38:31.135000Z,53.2583,-166.9091,48.94,4.1
2022-03-13T20:05:34.555000Z,51.6368,-175.3029,44.88,4.1
2022-03-12T19:59:48.801000Z,60.7797,-152.0345,88.4,4.8
2022-03-09T14:40:30.024000Z,53.8623,-165.1637,63.87,4.0
